,frame_id,frame_c_score,peak_risk_level,nose_frame_x,nose_frame_y,nose_frame_z_norm,nose_visibility,l_shoulder_frame_x,l_shoulder_frame_y,l_shoulder_frame_z_norm,l_shoulder_visibility,l_elbow_frame_x,l_elbow_frame_y,l_elbow_frame_z_norm,l_elbow_visibility,l_wrist_frame_x,l_wrist_frame_y,l_wrist_frame_z_norm,l_wrist_visibility,r_shoulder_frame_x,r_shoulder_frame_y,r_shoulder_frame_z_norm,r_shoulder_visibility,r_elbow_frame_x,r_elbow_frame_y,r_elbow_frame_z_norm,r_elbow_visibility,r_wrist_frame_x,r_wrist_frame_y,r_wrist_frame_z_norm,r_wrist_visibility,l_hip_frame_x,l_hip_frame_y,l_hip_frame_z_norm,l_hip_visibility,l_knee_frame_x,l_knee_frame_y,l_knee_frame_z_norm,l_knee_visibility,l_ankle_frame_x,l_ankle_frame_y,l_ankle_frame_z_norm,l_ankle_visibility,r_hip_frame_x,r_hip_frame_y,r_hip_frame_z_norm,r_hip_visibility,r_knee_frame_x,r_knee_frame_y,r_knee_frame_z_norm,r_knee_visibility,r_ankle_frame_x,r_ankle_frame_y,r_ankle_frame_z_norm,r_ankle_visibility,c_score,b_score,a_score,leg_score,trunk_score,neck_score,wrist_score,lower_arm_score,upper_arm_score,trunk_angle,neck,r_knee,l_knee,r_wrist,l_wrist,r_lower_arm,l_lower_arm,r_upper_arm_frontal,r_upper_arm_sag,l_upper_arm_frontal,l_upper_arm_sag,frame
20,20,4,Medium Risk,385,395,-0.10097900778055191,0.99,282,485,-0.2391878068447113,0.99,222,649,-0.2667265832424164,0.93,246,819,-0.25412675738334656,0.88,319,494,0.0753292366862297,0.99,274,659,0.11519209295511246,0.23,295,799,0.06700947880744934,0.43,302,783,-0.08588960021734238,0.87,322,1009,-0.08283130079507828,0.54,286,1200,0.055855073034763336,0.27,328,785,0.08600040525197983,0.88,365,995,0.10919439792633057,0.27,356,1184,0.2043033242225647,0.14,4,3,4,2,2,2,2,2,2,10.075381449285759,41.453788166800464,17.013832213294307,46.7881021731049,0.04236098890521589,17.522154570609445,146.73231451686297,157.75841292762632,4.8128463445374,20.612748610450087,22.702657162763387,10.705026848322364,20
21,21,4,Medium Risk,405,395,-0.10919324308633804,0.99,316,484,-0.24777168035507202,0.99,248,649,-0.28010180592536926,0.94,276,815,-0.26103007793426514,0.89,329,490,0.07098308950662613,0.99,278,658,0.1073915958404541,0.22,305,788,0.061414577066898346,0.4,333,785,-0.09210271388292313,0.88,372,1010,-0.07033706456422806,0.53,336,1202,0.03525592014193535,0.26,331,784,0.09219188988208771,0.89,360,995,0.13162536919116974,0.25,344,1183,0.21905630826950073,0.13,4,2,4,2,2,2,2,2,1,10.791130866611505,41.901491557437566,14.902436300358886,46.040738837910595,-0.03875841740557462,20.110134370170783,145.3965413362663,157.9941993747026,2.872247252617929,19.962959022406356,19.971060670206267,16.803962714128655,21
22,22,4,Medium Risk,426,390,-0.09996640682220459,0.99,339,485,-0.24377797544002533,0.99,282,649,-0.270163357257843,0.94,301,812,-0.24897989630699158,0.9,347,486,0.0743606761097908,0.99,304,655,0.10387393087148666,0.2,320,783,0.05566839501261711,0.38,346,785,-0.09808596968650818,0.89,391,1009,-0.07727658003568649,0.51,323,1199,0.016138257458806038,0.24,341,783,0.09814700484275818,0.9,355,990,0.13961847126483917,0.23,331,1174,0.22821053862571716,0.12,4,2,4,2,2,2,2,2,1,10.585944927629436,39.857450482719,14.786855205983017,51.055071049768316,0.40103967650637173,22.584030881762857,147.55582079800737,160.9312604349446,1.4221574465947144,17.313484190501626,18.488531880595485,16.362545854600942,22
23,23,4,Medium Risk,446,388,-0.10606779158115387,0.99,363,483,-0.24272766709327698,0.99,307,649,-0.2627647817134857,0.94,335,811,-0.24368542432785034,0.91,374,481,0.07584228366613388,0.99,337,649,0.10580944269895554,0.18,355,782,0.05788855999708176,0.35,375,784,-0.09565018862485886,0.9,403,1005,-0.07357778400182724,0.5,339,1193,0.01023012027144432,0.24,365,782,0.09571228176355362,0.91,366,986,0.1351461261510849,0.21,336,1167,0.22108252346515656,0.11,4,2,4,2,2,2,2,2,1,10.03027885917524,37.186058720054035,12.851535805252894,48.89811485739787,1.0671373848136625,20.294266754086777,148.1765952848872,163.08286996369344,0.2775108685308099,16.2700100260418,17.56466303297945,14.305798694149845,23
24,24,4,Medium Risk,467,380,-0.10583405941724777,0.99,381,481,-0.244838684797287,0.99,328,654,-0.27505671977996826,0.95,374,820,-0.2516867220401764,0.91,401,479,0.08147882670164108,0.99,370,649,0.11348352581262589,0.17,388,792,0.06831555813550949,0.33,377,787,-0.09891077131032944,0.91,419,1016,-0.08328550308942795,0.47,347,1204,0.007389604113996029,0.22,385,783,0.09894390404224396,0.92,381,995,0.13717776536941528,0.19,354,1187,0.22444304823875427,0.1,4,2,4,2,2,2,2,2,1,9.853363139518727,34.39030784921289,13.507427009492943,50.63879904167493,2.3529501676987934,23.081380937793597,151.95788629455058,159.77581885673212,0.3993190748151727,14.46267736278928,19.277784034786112,11.78643022133745,24
25,25,4,Medium Risk,491,373,-0.0803435668349266,0.99,404,476,-0.24212493002414703,0.99,354,654,-0.2700645327568054,0.95,395,818,-0.25112172961235046,0.92,412,471,0.087483711540699,0.99,379,644,0.11875121295452118,0.16,400,789,0.0884460061788559,0.3,386,785,-0.09693968296051025,0.92,428,1011,-0.07569576054811478,0.44,364,1200,0.013776345178484917,0.2,383,776,0.0969671756029129,0.92,380,991,0.1326710432767868,0.17,361,1182,0.22348470985889435,0.09,4,2,4,2,2,2,2,2,1,9.440469563731442,32.36178104906179,12.251584879508613,51.20136757612457,0.8731600587326511,23.287498704494396,154.00396165254523,160.72554489665413,0.6905536168846461,13.055204966016388,19.97077052723021,10.913087689230649,25
26,26,4,Medium Risk,509,373,-0.08726892620325089,0.99,429,477,-0.24205420911312103,0.99,392,655,-0.2786201238632202,0.96,430,817,-0.25448140501976013,0.93,423,469,0.08741545677185059,0.99,394,643,0.11924584209918976,0.15,416,793,0.08476760238409042,0.28,413,790,-0.09770911186933517,0.93,435,1019,-0.07747185975313187,0.42,360,1199,0.022647542878985405,0.19,391,779,0.09771136939525604,0.93,384,993,0.14913949370384216,0.16,351,1184,0.23342189192771912,0.08,4,3,4,2,2,2,2,2,2,9.64111456496895,29.979560359020752,13.482835173354005,54.497309576020754,0.0007958658489997106,24.510650269579685,154.8039492546864,158.46814374729468,0.645901762793971,12.221165627924329,22.66299765310836,11.559832135464157,26
27,27,4,Medium Risk,526,372,-0.08036144077777863,0.99,445,477,-0.23356805741786957,0.99,417,655,-0.26661089062690735,0.96,446,816,-0.23902560770511627,0.93,447,469,0.08350756019353867,0.99,423,636,0.11974423378705978,0.14,447,777,0.09425748139619827,0.26,437,789,-0.09188249707221985,0.94,459,1016,-0.04640473425388336,0.41,412,1194,0.048066653311252594,0.18,415,777,0.09193019568920135,0.94,413,992,0.1376570612192154,0.15,395,1183,0.2235986739397049,0.08,4,3,4,2,2,2,2,2,2,9.511667828528854,29.044930944212382,12.310051799347974,51.36821076142411,-0.4253110937761164,23.55408585581128,154.09729399593454,158.89254614518634,1.1054407720224844,10.607316677794214,22.154275422808357,10.66718734844257,27
28,28,4,Medium Risk,545,373,-0.0794360414147377,0.99,460,474,-0.2339373677968979,0.99,435,652,-0.2656344175338745,0.96,469,807,-0.2390695959329605,0.94,464,467,0.08661525696516037,0.99,454,624,0.12320412695407867,0.13,477,769,0.09494467824697495,0.24,456,782,-0.09231169521808624,0.94,482,1015,-0.05830738693475723,0.41,423,1193,0.04675408825278282,0.17,438,773,0.09235573559999466,0.94,433,983,0.1396348476409912,0.14,409,1174,0.2284359186887741,0.07,4,3,4,2,2,2,2,2,2,9.454642757936895,29.743924776866947,12.138822228104033,50.41990013418169,-0.07746219904745999,23.312720774772913,155.38208561034875,159.58516796797815,0.7932085668769498,8.525159144738842,21.983895790689107,10.413145693664452,28
29,29,4,Medium Risk,566,373,-0.07955168932676315,0.99,485,473,-0.2213083803653717,0.99,462,645,-0.2650306820869446,0.97,498,784,-0.23919610679149628,0.94,468,457,0.09422256052494049,0.99,456,614,0.12813453376293182,0.12,483,738,0.09388520568609238,0.22,479,770,-0.09170295298099518,0.95,543,1001,-0.08727850764989853,0.45,475,1172,0.00994550995528698,0.17,447,763,0.09178852289915085,0.95,447,958,0.13894334435462952,0.13,428,1160,0.19200041890144348,0.07,4,3,4,2,2,2,2,2,2,8.952896674086656,32.05000847593962,7.378054735913395,55.70570881978769,0.3764481287679473,21.622143359766284,152.25215312641893,159.34685752041136,1.291480671822766,8.168164960620796,22.54370911842532,10.034233637724018,29
